LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
10,44,44.0,44.0,1516.0,15,15,1,1,8,1,4,0,28,1516,0.0,0,1,1,44,44,0
33,75,75.0,75.0,1516.0,15,15,1,1,9,2,7,10,10,1516,0.0,0,1,1,75,75,0
13,40,40.0,40.0,1516.0,15,15,1,1,3,3,2,2,1,1516,0.0,0,1,1,40,40,0
8,39,39.0,39.0,1516.0,15,15,1,1,6,1,3,0,15,1516,0.0,0,1,1,39,39,0
8,103,45.5,48.5,759.5,15,0,2,2,6,1,5,0,15,1516,0.4902,0,2,2,103,92,1
25,66,66.0,66.0,1516.0,15,15,1,1,4,1,6,13,0,1516,0.0,0,1,1,66,66,0
7,38,38.0,38.0,1516.0,15,15,1,1,5,1,4,0,10,1516,0.0,0,1,1,38,38,0
18,50,50.0,50.0,1516.0,15,15,1,1,3,2,5,1,3,1516,0.0,0,1,1,50,50,0
49,102,48.0,49.5,758.5,15,13,1,1,18,2,10,18,78,1516,0.1914,0,2,2,102,99,0
36,89,89.0,89.0,1516.0,15,15,1,1,9,1,12,9,0,1516,0.0,0,1,1,89,89,0
17,56,56.0,56.0,1516.0,15,15,1,1,3,2,6,6,1,1516,0.0,0,1,1,56,56,0
25,69,69.0,69.0,1516.0,15,15,1,1,7,2,8,10,10,1516,0.0,0,1,1,69,69,0
5,40,40.0,40.0,1516.0,15,15,1,1,0,1,0,0,0,1516,0.0,0,1,1,40,40,0
1,26,26.0,26.0,1516.0,15,15,1,1,0,1,0,0,0,1516,0.0,0,1,1,26,26,0
9,40,40.0,40.0,1516.0,15,15,1,1,7,1,2,0,21,1516,0.0,0,1,1,40,40,0
12,65,65.0,65.0,1516.0,15,15,1,1,2,1,10,8,0,1516,0.0,0,1,1,65,65,0
9,43,20.5,21.0,759.5,15,13,1,1,2,2,3,3,0,1516,0.583,0,2,2,43,37,0
1,28,28.0,28.0,1516.0,15,15,1,1,0,1,0,0,0,1516,0.0,0,1,1,28,28,0
25,66,66.0,66.0,1516.0,15,15,1,1,7,2,8,10,10,1516,0.0,0,1,1,66,66,0
14,50,50.0,50.0,1516.0,15,15,1,1,5,1,3,4,4,1516,0.0,0,1,1,50,50,0
23,67,67.0,67.0,1516.0,15,15,1,1,5,3,8,4,8,1516,0.0,0,1,1,67,67,0
5,43,43.0,43.0,1516.0,15,15,1,1,1,1,1,0,0,1516,0.0,0,1,1,43,43,0
35,82,82.0,82.0,1516.0,15,15,1,1,12,3,2,1,49,1516,0.0,0,1,1,82,82,0
10,43,21.5,21.5,759.5,15,0,2,2,8,1,3,0,28,1516,0.2714,0,2,1,43,41,1
38,88,88.0,88.0,1516.0,15,15,1,1,9,2,10,16,4,1516,0.0,0,1,1,88,88,0
37,75,75.0,75.0,1516.0,15,15,1,1,10,3,2,5,0,1516,0.0,0,1,1,75,75,0
6,0,0.0,0.0,0.0,19,19,1,0,4,1,1,0,6,0,0.0,0,1,1,32,32,0
8,0,0.0,0.0,0.0,10,4,2,0,2,2,1,5,0,0,0.0,0,2,2,35,33,0
44,0,0.0,0.0,0.0,19,19,1,0,9,1,13,17,4,0,0.0,0,1,1,115,115,0
5,0,0.0,0.0,0.0,19,19,1,0,1,2,2,0,0,0,0.0,0,1,1,35,35,0
16,0,0.0,0.0,0.0,19,17,2,0,4,3,8,2,1,0,0.0,0,2,2,59,55,0
17,0,0.0,0.0,0.0,19,19,1,0,3,2,8,7,1,0,0.0,0,1,1,66,66,0
7,0,0.0,0.0,0.0,19,19,1,0,5,1,4,0,10,0,0.0,0,1,1,38,38,0
33,0,0.0,0.0,0.0,19,19,1,0,11,2,11,4,0,0,0.0,0,1,1,91,91,0
42,0,0.0,0.0,0.0,19,19,1,0,11,1,2,4,23,0,0.0,0,1,1,89,89,0
6,0,0.0,0.0,0.0,19,19,1,0,4,1,2,0,6,0,0.0,0,1,1,34,34,0
9,0,0.0,0.0,0.0,19,19,1,0,1,2,5,5,0,0,0.0,0,1,1,41,41,0
17,0,0.0,0.0,0.0,19,19,1,0,4,3,5,2,0,0,0.0,0,1,1,64,64,0
30,0,0.0,0.0,0.0,19,9,2,0,9,2,8,12,21,0,0.0,0,2,2,92,73,0
6,0,0.0,0.0,0.0,19,19,1,0,1,3,0,0,0,0,0.0,0,1,1,42,42,0
77,0,0.0,0.0,0.0,19,16,2,0,5,3,14,14,3,0,0.0,0,2,2,158,154,0
8,0,0.0,0.0,0.0,19,19,1,0,2,1,0,0,0,0,0.0,0,1,1,37,37,0
4,0,0.0,0.0,0.0,19,19,1,0,1,2,2,0,0,0,0.0,0,1,1,28,28,0
5,0,0.0,0.0,0.0,19,19,1,0,1,2,2,1,0,0,0.0,0,1,1,31,31,0
1,0,0.0,0.0,0.0,19,19,1,0,0,1,0,0,0,0,0.0,0,1,1,35,35,0
8,0,0.0,0.0,0.0,19,19,1,0,2,2,2,0,1,0,0.0,0,1,1,33,33,0
5,0,0.0,0.0,0.0,19,19,1,0,3,1,0,0,3,0,0.0,0,1,1,31,31,0
9,0,0.0,0.0,0.0,19,19,1,0,2,3,0,0,1,0,0.0,0,1,1,32,32,0
21,0,0.0,0.0,0.0,19,7,2,0,7,2,4,7,1,0,0.0,0,2,2,56,54,0
6,0,0.0,0.0,0.0,19,19,1,0,4,1,3,0,6,0,0.0,0,1,1,59,59,0
9,0,0.0,0.0,0.0,19,19,1,0,2,3,0,0,1,0,0.0,0,1,1,32,32,0
