LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
11,49,49.0,49.0,1516.0,15,15,1,1,2,1,0,0,0,1516,0.0,0,1,1,49,49,0
134,267,129.5,131.5,762.5,15,9,2,2,11,3,27,34,1,1516,0.7551,0,2,2,267,209,0
116,258,258.0,258.0,1516.0,15,15,1,1,18,1,23,48,0,1516,0.0,0,1,1,258,258,0
88,221,90.5,100.5,761.5,15,9,2,2,22,1,12,42,1,1516,0.6723,0,2,2,221,182,0
52,98,98.0,98.0,1516.0,15,15,1,1,14,3,3,0,77,1516,0.0,0,1,1,98,98,0
3,31,31.0,31.0,1516.0,15,15,1,1,0,3,3,0,0,1516,0.0,0,1,1,31,31,0
126,258,56.0,60.25,387.0,15,4,1,1,30,1,24,50,77,1516,0.6723,0,4,2,258,224,0
17,46,46.0,46.0,1516.0,15,15,1,1,4,2,1,0,2,1516,0.0,0,1,1,46,46,0
54,221,51.67,62.67,512.0,15,2,2,2,12,1,14,29,26,1516,0.8709,0,3,2,221,170,0
13,40,40.0,40.0,1516.0,15,15,1,1,3,3,0,1,1,1516,0.0,0,1,1,40,40,0
183,353,353.0,353.0,1516.0,15,15,1,1,52,3,2,0,1080,1516,0.0,0,1,1,353,353,0
66,152,68.0,72.0,759.5,15,13,2,2,20,3,14,8,40,1516,0.6131,0,2,2,152,129,0
24,94,35.0,41.0,758.5,15,13,2,2,1,3,10,2,0,1516,0.9035,0,2,2,94,64,0
98,220,99.0,104.5,762.5,15,9,2,2,31,2,17,9,230,1516,0.3238,0,2,2,220,207,0
35,85,85.0,85.0,1516.0,15,15,1,1,14,2,2,0,12,1516,0.0,0,1,1,85,85,0
25,63,63.0,63.0,1516.0,15,15,1,1,4,1,4,6,0,1516,0.0,0,1,1,63,63,0
