Release,Class_Name,LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.validation.attrvalue.AlwaysTrueValidator,11,39,39.00,39.00,1516.00,15,15,1,1,3,2,4,1,1,1516,0.0000,0,1,1,39,39,0
syncope-1.0.0-incubating,org.apache.syncope.core.workflow.activiti.SyncopeSessionFactory,15,45,45.00,45.00,1516.00,15,15,1,1,4,1,3,1,0,1516,0.0000,0,1,1,45,45,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.DerivedSchemaModalPage,56,119,119.00,119.00,1516.00,15,15,1,1,4,4,14,7,1,1516,0.0000,8,1,1,119,119,0
syncope-1.0.0-incubating,org.apache.syncope.types.ConnConfPropSchema,63,107,53.50,53.50,761.50,15,9,2,2,17,2,2,1,91,1516,0.4479,69,2,2,107,97,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.VirtualSchemaModalPage,53,114,114.00,114.00,1516.00,15,15,1,1,4,4,14,7,1,1516,0.0000,8,1,1,114,114,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.user.UDerSchema,3,31,31.00,31.00,1516.00,15,15,1,1,0,3,3,0,0,1516,0.0000,67,1,1,31,31,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.SyncTaskModalPage,46,112,112.00,112.00,1516.00,15,15,1,1,2,5,14,9,0,1516,0.0000,5,1,1,112,112,0
syncope-1.0.0-incubating,org.apache.syncope.client.search.SyncopeUserCond,8,34,34.00,34.00,1516.00,15,15,1,1,2,3,2,0,1,1516,0.0000,0,1,1,34,34,0
syncope-1.0.0-incubating,org.apache.syncope.core.workflow.activiti.SyncopeUserQueryImpl,124,205,205.00,205.00,1516.00,15,15,1,1,36,1,12,16,192,1516,0.0000,9,1,1,205,205,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.panels.ResourceSecurityPanel,89,195,195.00,195.00,1516.00,15,15,1,1,1,3,16,9,0,1516,0.0000,5,1,1,195,195,0
syncope-1.0.0-incubating,org.apache.syncope.core.rest.data.UserDataBinder,226,446,140.67,144.67,507.67,15,3,2,2,52,2,25,72,45,1516,0.4370,17,3,3,446,411,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.dao.MissingConfKeyException,10,33,33.00,33.00,1516.00,15,15,1,1,2,3,0,0,0,1516,0.0000,2,1,1,33,33,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.validation.entity.AbstractValidator,3,31,31.00,31.00,1516.00,15,15,1,1,0,1,2,1,0,1516,0.0000,10,1,1,31,31,0
syncope-1.0.0-incubating,org.apache.syncope.console.rest.TaskRestClient,82,253,64.33,74.33,517.00,15,6,3,3,23,2,12,10,120,1516,1.0828,2,3,2,253,178,0
syncope-1.0.0-incubating,org.apache.syncope.console.rest.ReportRestClient,39,139,37.00,41.67,515.00,15,6,3,3,11,2,6,6,45,1516,0.9675,0,3,2,139,102,0
syncope-1.0.0-incubating,org.apache.syncope.client.to.ReportTO,98,169,84.50,84.50,764.00,15,1,2,2,33,2,3,5,244,1516,0.6477,17,2,2,169,141,0
syncope-1.0.0-incubating,org.apache.syncope.console.commons.SelectChoiceRenderer,14,40,40.00,40.00,1516.00,15,15,1,1,3,1,2,2,1,1516,0.0000,0,1,1,40,40,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.AbstractVirAttr,24,68,68.00,68.00,1516.00,15,15,1,1,10,2,6,2,26,1516,0.0000,0,1,1,68,68,0
syncope-1.0.0-incubating,org.apache.syncope.core.rest.controller.PolicyController,108,264,264.00,264.00,1516.00,15,15,1,1,22,2,23,18,0,1516,0.0000,2,1,1,264,264,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.Policy,25,75,75.00,75.00,1516.00,15,15,1,1,6,2,10,2,11,1516,0.0000,1,1,1,75,75,0
syncope-1.0.0-incubating,org.apache.syncope.core.workflow.activiti.SyncopeUserManager,57,132,132.00,132.00,1516.00,15,15,1,1,16,2,15,4,72,1516,0.0000,1,1,1,132,132,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.dao.DerAttrDAO,7,36,36.00,36.00,1516.00,15,15,1,1,5,1,2,0,10,1516,0.0000,0,1,1,36,36,0
syncope-1.0.0-incubating,org.apache.syncope.types.SchemaType,11,43,43.00,43.00,1516.00,15,15,1,1,6,1,0,0,1,1516,0.0000,0,1,1,43,43,0
syncope-1.0.0-incubating,org.apache.syncope.core.workflow.AbstractUserWorkflowAdapter,34,110,110.00,110.00,1516.00,15,15,1,1,12,1,10,11,46,1516,0.0000,2,1,1,110,110,0
syncope-1.0.0-incubating,org.apache.syncope.core.propagation.ConnectorFacadeProxy,258,629,141.25,149.25,386.25,15,3,3,3,76,1,28,67,0,1516,0.6133,21,4,3,629,566,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.membership.MAttrValue,16,59,28.50,29.00,758.50,15,13,2,2,4,3,8,2,1,1516,0.3576,0,2,2,59,55,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.dao.impl.VirAttrDAOImpl,25,69,69.00,69.00,1516.00,15,15,1,1,7,2,8,10,10,1516,0.0000,0,1,1,69,69,0
syncope-1.0.0-incubating,org.apache.syncope.console.wicket.markup.html.form.AjaxDropDownChoicePanel,34,79,79.00,79.00,1516.00,15,15,1,1,6,4,9,11,10,1516,0.0000,1,1,1,79,79,0
syncope-1.0.0-incubating,org.apache.syncope.core.rest.data.UserRequestDataBinder,44,107,107.00,107.00,1516.00,15,15,1,1,10,1,14,13,0,1516,0.0000,0,1,1,107,107,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.panels.DerivedAttributesPanel,83,176,176.00,176.00,1516.00,15,15,1,1,1,2,14,4,0,1516,0.0000,6,1,1,176,176,0
syncope-1.0.0-incubating,org.apache.syncope.types.SyncopeLoggerLevel,36,65,65.00,65.00,1516.00,15,15,1,1,10,1,2,1,0,1516,0.0000,1,1,1,65,65,0
syncope-1.0.0-incubating,org.apache.syncope.types.EntityViolationType,11,69,69.00,69.00,1516.00,15,15,1,1,4,1,0,1,0,1516,0.0000,1,1,1,69,69,0
syncope-1.0.0-incubating,org.apache.syncope.console.rest.SchemaRestClient,128,378,153.00,171.00,771.00,15,6,2,2,30,2,7,12,153,1516,0.7344,6,2,2,378,300,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.dao.impl.LoggerDAOImpl,26,68,68.00,68.00,1516.00,15,15,1,1,8,2,7,12,10,1516,0.0000,0,1,1,68,68,0
